SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,date_collected
MLS Listing,,Single Family Residential,401 Clingstone Ct,Cary,NC,27519-0846,574900,4,4,Hortons Creek,3518,9583,2010,6,163,90,Active,,,http://www.redfin.com/NC/Cary/401-Clingstone-Ct-27519/home/41328017,TMLS,2126179,N,Y,35.838076,-78.903068,5/10/2017
MLS Listing,,Single Family Residential,3916 Chaumont Dr,Apex,NC,27539,950000,4,7,Wake,6423,64033,2012,92,148,,Active,May-21-2017 11:00 AM,May-21-2017 01:00 PM,http://www.redfin.com/NC/Apex/3916-Chaumont-Dr-27539/home/41328812,TMLS,2109283,N,Y,35.7015558,-78.7888098,5/10/2017
MLS Listing,,Single Family Residential,1017 Plantation Dr,Cary,NC,27511,294900,4,3,Plantation Estates,2044,16552,1967,23,144,,Active,,,http://www.redfin.com/NC/Cary/1017-Plantation-Dr-27511/home/41331277,TMLS,2122503,N,Y,35.7703778,-78.7949647,5/10/2017
MLS Listing,,Single Family Residential,101 Camden Branch Dr,Cary,NC,27511,464900,4,4,Camden Forest,3604,21344,1999,11,129,18,Active,,,http://www.redfin.com/NC/Cary/101-Camden-Branch-Dr-27518/home/41340685,TMLS,2124772,N,Y,35.7368588,-78.7502468,5/10/2017
MLS Listing,,Single Family Residential,101 Morganford Pl,Cary,NC,27518,534900,4,4,Windermere,4298,23522,2001,5,124,63,Active,,,http://www.redfin.com/NC/Cary/101-Morganford-Pl-27518/home/41342596,TMLS,2126379,N,Y,35.694767,-78.7993891,5/10/2017
MLS Listing,,Single Family Residential,109 Bending Branch Ct,Morrisville,NC,27560,570000,4,4,Weston Estates,3575,25700,2000,47,159,50,Active,,,http://www.redfin.com/NC/Morrisville/109-Bending-Branch-Ct-27560/home/41344013,TMLS,2118048,N,Y,35.8200974,-78.8176562,5/10/2017
MLS Listing,,Single Family Residential,5936 Larboard Dr,Apex,NC,27539,450000,4,3,The Park At West Lake,3942,23086,2006,7,114,53,Active,,,http://www.redfin.com/NC/Apex/5936-Larboard-Dr-27539/home/41356250,TMLS,2125781,N,Y,35.6546091,-78.7542039,5/10/2017
MLS Listing,,Single Family Residential,3404 Castelaine Cir,Apex,NC,27539,750000,4,6,Brookshire Manor,5000,38332,2009,15,150,350,Active,,,http://www.redfin.com/NC/Apex/3404-Castelaine-Cir-27539/home/41360595,TMLS,2124146,N,Y,35.6789178,-78.7564401,5/10/2017
MLS Listing,,Single Family Residential,4007 Red Grape Dr,Raleigh,NC,27607-4863,500000,4,3,Brandywine,3100,9147,2011,97,161,16,Active,,,http://www.redfin.com/NC/Raleigh/4007-Red-Grape-Dr-27607/home/41362216,TMLS,2108441,N,Y,35.8004109,-78.742502,5/10/2017
MLS Listing,,Single Family Residential,4001 Red Grape Dr,Raleigh,NC,27607,475000,4,4,Brandywine,3400,9147,2011,12,140,33,Active,,,http://www.redfin.com/NC/Raleigh/4001-Red-Grape-Dr-27607/home/41362217,TMLS,2124887,N,Y,35.801032,-78.742603,5/10/2017
MLS Listing,,Single Family Residential,113 Painted Turtle Ln,Cary,NC,27519,479900,4,4,Peninsula,3170,10410,2011,1,151,99,Active,,,http://www.redfin.com/NC/Cary/113-Painted-Turtle-Ln-27519/home/41389618,TMLS,2127236,N,Y,35.8207725,-78.9202888,5/10/2017
MLS Listing,,Single Family Residential,510 Westbury Hill Ln,Apex,NC,27539,629000,4,4,Churchill Estates,3829,14331,2012,75,164,72,Active,,,http://www.redfin.com/NC/Apex/510-Westbury-Hill-Ln-27539/home/44528838,TMLS,2112267,N,Y,35.6893601,-78.7684425,5/10/2017
MLS Listing,,Single Family Residential,832 Vandalia Dr,Cary,NC,27519-1889,409900,4,3,Cary Park,2629,8712,2012,2,156,38,Active,May-13-2017 10:00 AM,May-13-2017 01:00 PM,http://www.redfin.com/NC/Cary/832-Vandalia-Dr-27519/home/44597770,TMLS,2126831,N,Y,35.8231674,-78.8968349,5/10/2017
MLS Listing,,Single Family Residential,7100 Hinman Ln,Apex,NC,27539,414900,4,3,The Park At West Lake,3253,7405,2013,30,128,99,Active,,,http://www.redfin.com/NC/Apex/7100-Hinman-Ln-27539/home/45436617,TMLS,2121162,N,Y,35.655503,-78.764232,5/10/2017
MLS Listing,,Single Family Residential,104 Carter Grove Ct,Morrisville,NC,27560,475000,4,3,Phillips Place,3087,6098,2012,20,154,40,Active,,,http://www.redfin.com/NC/Morrisville/104-Carter-Grove-Ct-27560/home/45436778,TMLS,2122867,N,Y,35.8344352,-78.8719036,5/10/2017
MLS Listing,,Single Family Residential,333 Striped Maple Ct,Apex,NC,27539,372700,4,3,The Park at Langston,2753,10018,2014,40,135,36,Active,,,http://www.redfin.com/NC/Apex/333-STRIPED-MAPLE-Ct-27539/home/45436822,TMLS,2119457,N,Y,35.6686634,-78.7485331,5/10/2017
MLS Listing,,Single Family Residential,1203 Chalk Maple Dr,Cary,NC,27519,498000,4,3,Village Square,2943,4791,2014,12,169,88,Active,,,http://www.redfin.com/NC/Cary/1203-Chalk-Maple-Dr-27519/home/52430037,TMLS,2125090,N,Y,35.8303017,-78.906329,5/10/2017
MLS Listing,,Single Family Residential,1064 Bender Ridge Dr,Morrisville,NC,27560,465000,4,3,Cedar Bend,3119,8712,2014,21,149,45,Active,,,http://www.redfin.com/NC/Morrisville/1064-Bender-Ridge-Dr-27560/home/58236887,TMLS,2122864,N,Y,35.8312915,-78.865365,5/10/2017
MLS Listing,,Single Family Residential,423 Parkman Grant Dr,Cary,NC,27519-6134,659000,4,4,Cameron Pond,3552,9670,2016,211,186,71,Active,,,http://www.redfin.com/NC/Cary/423-Parkman-Grant-Dr-27519/home/59281867,TMLS,2093994,N,Y,35.8213366,-78.8853525,5/10/2017
MLS Listing,,Single Family Residential,2376 Redbud Tree Dr,Apex,NC,27539,525000,4,4,Colvin Park,3408,9583,2015,54,154,63,Active,,,http://www.redfin.com/NC/Apex/2376-Redbud-Tree-Dr-27539/home/90905294,TMLS,2111033,N,Y,35.69700274,-78.8066349,5/10/2017
